Description	ID	nc	nt	sp
"kinetochore protein blinkin, Spc7"	844	0	0	1
"leptomycin efflux transporter Pmd1"	847	3	1	1
 Neurospora crassa OR74A Spc97/Spc98 family protein (1363 aa)	848	1	1	0
estExt_Genewise1Plus.C_31790	851	1	1	1
estExt_fgenesh1_pm.C_30532	854	0	1	0
 Neurospora crassa OR74A vacuolar assembly protein (1360 aa)	855	1	1	0
estExt_fgenesh1_kg.C_20369	856	1	1	1
 Neurospora crassa OR74A hypothetical protein (1355 aa)	862	1	1	0
 Neurospora crassa OR74A leptomycin B resistance protein pmd1 (1354 aa)	866	1	1	0
 Neurospora crassa OR74A hypothetical protein (1354 aa)	867	1	1	0
estExt_Genemark.C_810022	868	0	1	0
 Neurospora crassa OR74A WD repeat protein (1353 aa)	871	1	1	0
estExt_fgenesh1_pg.C_810329	872	1	1	0
 Neurospora crassa OR74A RNA-dependent RNA polymerase 3 (1352 aa)	873	1	1	0
estExt_Genewise1Plus.C_13543	875	3	1	0
 Neurospora crassa OR74A hypothetical protein (1349 aa)	879	1	1	0
"BTB/POZ domain protein Btb1"	880	0	0	1
 Neurospora crassa OR74A hypothetical protein (1348 aa)	881	1	0	0
 Neurospora crassa OR74A ATPase type 13A2 (1347 aa)	883	1	1	1
estExt_fgenesh1_pm.C_40243	884	2	1	1
 Neurospora crassa OR74A VPS9 domain-containing protein (1346 aa)	885	1	1	0
 Neurospora crassa OR74A hypothetical protein (1345 aa)	886	1	1	0
"transcription factor TFIIIC complex B box binding subunit Sfc3"	890	0	0	1
"tuberin"	891	0	0	1
estExt_fgenesh1_pg.C_40016	892	1	1	0
"serine/threonine protein kinase Cek1"	893	0	0	1
 Neurospora crassa OR74A hypothetical protein (1339 aa)	894	1	1	0
"conserved protein"	896	0	0	1
"M-factor transporter Mam1"	900	0	0	1
 Neurospora crassa OR74A hypothetical protein (1336 aa)	904	3	1	0
"RhoGEF for Rho1, Rgf1"	905	0	0	1
"retrotransposable element/transposon Tf2-type"	906	0	0	13
estExt_fgenesh1_pg.C_40514	917	2	1	0
estExt_Genemark.C_20125	918	1	1	0
fgenesh1_pm.6_#_292	922	0	1	0
 Neurospora crassa OR74A hypothetical protein (1333 aa)	923	1	1	0
 Neurospora crassa OR74A hypothetical protein (1332 aa)	924	2	1	0
 Neurospora crassa OR74A phospholipid-translocating P-type ATPase (1332 aa)	927	1	1	0
 Neurospora crassa OR74A hypothetical protein (1330 aa)	930	1	1	0
"RecQ type DNA helicase Rqh1"	932	0	0	1
estExt_fgenesh1_pg.C_10420	938	1	1	0
estExt_Genewise1Plus.C_10890	939	2	1	0
"nucleoporin Nup146"	941	0	0	1
estExt_Genemark.C_31004	942	1	1	0
"condensin complex subunit Cut3"	945	0	0	1
"ubiquitin-protein ligase E3, coatamer related complex subunit Sea3 (predicted)"	948	0	0	1
estExt_Genewise1.C_31129	951	0	1	0
 Neurospora crassa OR74A homeobox and C2H2 transcription factor (1322 aa)	952	1	1	0
 Neurospora crassa OR74A PH domain-containing protein (1320 aa)	955	1	1	0
"serine/threonine protein kinase Ppk18 (predicted)"	956	0	0	1
"sporulation protein Spo7"	957	0	0	1
"ribosome biogenesis protein Urb2 (predicted)"	958	0	0	1
estExt_Genewise1Plus.C_20290	959	1	1	1
 Neurospora crassa OR74A mutS ortholog 4 (1319 aa)	960	1	1	0
estExt_Genewise1Plus.C_23037	965	2	1	0
 Neurospora crassa OR74A hypothetical protein (1318 aa)	966	2	1	0
estExt_fgenesh1_pm.C_40066	968	0	1	0
"nucleoporin Nup155"	972	0	0	1
estExt_Genemark.C_30040	974	1	1	0
estExt_fgenesh1_pm.C_20097	975	1	1	0
 Neurospora crassa OR74A LysM domain-containing protein (1316 aa)	976	1	0	0
 Neurospora crassa OR74A calpain-B (1316 aa)	977	1	1	0
 Neurospora crassa OR74A ultraviolet-sensitive-6 (1315 aa)	978	1	0	0
estExt_Genemark.C_810277	980	1	1	1
 Neurospora crassa OR74A set-domain histone methyltransferase-1 (1314 aa)	981	1	1	0
 Neurospora crassa OR74A hypothetical protein (1313 aa)	983	1	1	0
"sterol binding ankyrin repeat protein (predicted)"	984	0	0	1
 Neurospora crassa OR74A PAB-dependent poly(A)-specific ribonuclease subunit pan-2 (1311 aa)	985	1	0	0
 Neurospora crassa OR74A hypothetical protein (1311 aa)	986	1	1	0
 Neurospora crassa OR74A UDP-glucose,sterol transferase (1311 aa)	988	1	1	0
"Rictor homolog, Ste20"	989	0	0	1
fgenesh1_pg.5_#_340	990	1	1	0
 Neurospora crassa OR74A hypothetical protein (1308 aa)	993	2	1	0
 Neurospora crassa OR74A hypothetical protein (1307 aa)	996	1	1	0
 Neurospora crassa OR74A DUF221 domain-containing protein (1306 aa)	997	1	1	0
 Neurospora crassa OR74A soft (1305 aa)	998	1	1	0
estExt_fgenesh1_pm.C_40206	1005	1	1	0
estExt_Genewise1.C_815161	1008	1	1	0
"RAVE complex subunit Rav1"	1010	0	0	1
estExt_Genewise1.C_815380	1011	1	1	0
estExt_Genewise1Plus.C_52280	1012	1	1	0
 Neurospora crassa OR74A hypothetical protein (1297 aa)	1014	1	1	0
"GTPase activating protein (predicted)"	1015	0	0	1
estExt_Genewise1.C_814235	1016	1	1	1
"vacuolar calcium transporting P-type ATPase P2 type, Pmc1"	1021	0	0	1
 Neurospora crassa OR74A mitotic spindle checkpoint component mad3 (1293 aa)	1022	1	1	0
"vigilin (predicted)"	1024	0	0	1
estExt_Genemark.C_50402	1025	1	1	0
"SNF2 family helicase Swr1"	1029	0	0	1
estExt_fgenesh1_pm.C_60814	1030	1	1	1
estExt_fgenesh1_pm.C_20123	1032	1	1	0
 Neurospora crassa OR74A EF hand domain-containing protein (1287 aa)	1033	1	0	0
"DNA repair protein Rad50"	1034	0	0	1
estExt_fgenesh1_pm.C_812011	1035	1	1	0
 Neurospora crassa OR74A DUF726 domain-containing protein (1286 aa)	1036	1	1	0
"SMARCAD1 family ATP-dependent DNA helicase Fft2 (predicted)"	1038	0	0	1
"complexed with Cdc5 protein Cwf11"	1039	0	0	1
 Neurospora crassa OR74A hypothetical protein (1285 aa)	1040	1	1	0
"cell surface glycoprotein (predicted)"	1041	0	0	1
estExt_Genewise1Plus.C_61473	1042	2	1	0
 Neurospora crassa OR74A hypothetical protein (1284 aa)	1043	1	1	0
 Neurospora crassa OR74A hypothetical protein (1284 aa)	1046	1	1	0
estExt_fgenesh1_pm.C_30446	1047	1	1	1
estExt_Genewise1.C_40922	1050	1	1	0
estExt_fgenesh1_pm.C_40265	1051	1	1	0
 Neurospora crassa OR74A hypothetical protein (1282 aa)	1052	2	0	0
estExt_Genemark.C_60466	1054	1	1	0
 Neurospora crassa OR74A amycelial (1280 aa)	1056	1	1	0
 Neurospora crassa OR74A tetratricopeptide repeat protein 1 (1280 aa)	1057	1	1	0
 Neurospora crassa OR74A hypothetical protein (1278 aa)	1060	1	1	0
 Neurospora crassa OR74A hypothetical protein (1277 aa)	1061	1	0	0
 Neurospora crassa OR74A nuclear import and export protein Msn5 (1277 aa)	1062	1	1	0
"RhoGEF Rgf3"	1063	0	0	1
"Rho-type GTPase activating protein Rga2"	1064	0	0	1
"tripeptidyl-peptidase II Tpp2"	1066	0	0	1
estExt_Genemark.C_40523	1067	1	1	0
estExt_Genewise1Plus.C_12977	1068	1	1	0
 Neurospora crassa OR74A hypothetical protein (1275 aa)	1070	1	1	0
"histone demethylase SWIRM2 (predicted)"	1071	0	0	1
"WD repeat protein Vps8 (predicted)"	1072	0	0	1
 Neurospora crassa OR74A hypothetical protein (1273 aa)	1073	3	1	0
 Neurospora crassa OR74A hypothetical protein (1273 aa)	1075	1	1	0
 Neurospora crassa OR74A hypothetical protein (1271 aa)	1078	1	0	0
 Neurospora crassa OR74A mitochondrial translation initiation factor (1271 aa)	1079	1	1	0
estExt_Genewise1.C_810205	1080	1	1	0
 Neurospora crassa OR74A Cockayne syndrome A ortholog (1270 aa)	1082	1	1	0
 Neurospora crassa OR74A a-pheromone processing metallopeptidase Ste23 (1270 aa)	1083	1	1	0
e_gw1.2.1181.1	1085	2	1	0
estExt_Genewise1.C_11586	1086	1	1	1
 Neurospora crassa OR74A serine/threonine protein kinase-44 (1268 aa)	1087	1	1	0
 Neurospora crassa OR74A TGF beta receptor associated protein 1 (1267 aa)	1089	1	1	0
 Neurospora crassa OR74A hypothetical protein (1267 aa)	1090	1	1	0
estExt_fgenesh1_pg.C_21100	1091	1	1	0
estExt_Genemark.C_20576	1092	1	1	0
estExt_Genemark.C_810939	1096	2	1	0
fgenesh1_pm.5_#_960	1097	1	1	0
 Neurospora crassa OR74A hypothetical protein (1265 aa)	1099	1	1	0
 Neurospora crassa OR74A nuclear condensin complex subunit 3 (1263 aa)	1105	1	1	0
 Neurospora crassa OR74A intermediate filament protein (1263 aa)	1106	1	1	0
 Neurospora crassa OR74A hypothetical protein (1263 aa)	1107	2	0	0
"mitochondrial PPR repeat protein Ppr5"	1108	0	0	1
 Neurospora crassa OR74A hypothetical protein (1262 aa)	1110	1	1	0
 Neurospora crassa OR74A PHD finger domain-containing protein (1262 aa)	1111	1	1	0
 Neurospora crassa OR74A hypothetical protein (1260 aa)	1115	1	1	0
 Neurospora crassa OR74A pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (1259 aa)	1118	1	1	1
 Neurospora crassa OR74A GPI inositol-deacylase (1257 aa)	1119	1	1	0
"MutS protein homolog"	1126	0	0	1
estExt_fgenesh1_pg.C_10922	1127	0	1	0
 Neurospora crassa OR74A cellular morphogenesis protein (1253 aa)	1130	1	1	0
estExt_Genewise1Plus.C_815123	1131	1	1	0
"nucleoporin Pom152"	1133	0	0	1
estExt_fgenesh1_pg.C_20916	1134	1	1	0
 Neurospora crassa OR74A serine/threonine protein kinase-47 (1251 aa)	1135	2	1	0
estExt_fgenesh1_pg.C_50009	1136	1	1	1
 Neurospora crassa OR74A mutS ortholog 1-like (1250 aa)	1138	1	1	0
 Neurospora crassa OR74A hypothetical protein (1250 aa)	1140	1	0	0
estExt_Genewise1.C_810165	1141	1	1	0
fgenesh1_pm.1_#_1024	1142	1	1	0
 Neurospora crassa OR74A mutS ortholog 6-like (1247 aa)	1145	1	1	0
 Neurospora crassa OR74A serine/threonine protein kinase-22 (1247 aa)	1146	1	1	0
 Neurospora crassa OR74A hypothetical protein (1246 aa)	1149	1	1	0
 Neurospora crassa OR74A glycerophosphocholine phosphodiesterase Gde1 (1246 aa)	1150	1	0	0
estExt_Genewise1.C_10372	1152	1	1	0
"ER-localized ubiquitin ligase Doa10 (predicted)"	1153	0	0	1
estExt_fgenesh1_pm.C_30959	1155	0	1	0
 Neurospora crassa OR74A phytochrome-1 (1243 aa)	1156	1	0	0
 Neurospora crassa OR74A NF-X1 finger transcription factor (1242 aa)	1157	1	0	0
 Neurospora crassa OR74A hypothetical protein (1242 aa)	1158	1	1	0
 Neurospora crassa OR74A hypothetical protein (1240 aa)	1163	2	0	0
"cryptic loci regulator Clr1"	1165	0	0	1
estExt_Genemark.C_812038	1166	2	1	0
 Neurospora crassa OR74A set-domain histone methyltransferase-3 (1239 aa)	1167	1	1	0
"C2 domain protein"	1169	0	0	1
 Neurospora crassa OR74A hypothetical protein (1238 aa)	1171	1	1	0
"chitinase (predicted)"	1172	0	0	1
estExt_fgenesh1_pm.C_10432	1174	1	1	0
 Neurospora crassa OR74A chitin synthase-4 (1236 aa)	1176	2	1	0
 Neurospora crassa OR74A C6 zinc finger protein (1236 aa)	1178	1	1	0
"karyopherin (predicted)"	1180	0	0	1
estExt_Genewise1.C_815465	1181	1	1	1
 Neurospora crassa OR74A serine/threonine protein kinase-53 (1234 aa)	1185	1	1	0
 Neurospora crassa OR74A DNA replication helicase Dna2 (1234 aa)	1186	1	0	0
 Neurospora crassa OR74A mutagen sensitive-59 (1234 aa)	1187	1	1	0
 Neurospora crassa OR74A hypothetical protein (1233 aa)	1188	1	1	0
 Neurospora crassa OR74A hypothetical protein (1232 aa)	1190	1	1	0
 Neurospora crassa OR74A hypothetical protein (1230 aa)	1195	1	1	0
 Neurospora crassa OR74A hypothetical protein (1230 aa)	1197	1	1	0
 Neurospora crassa OR74A mutagen sensitive-41 (1229 aa)	1201	1	1	0
estExt_Genemark.C_40370	1203	0	1	0
estExt_fgenesh1_pg.C_11354	1204	1	1	0
 Neurospora crassa OR74A hypothetical protein (1228 aa)	1205	1	0	0
estExt_Genemark.C_30359	1206	1	1	0
 Neurospora crassa OR74A dDENN domain-containing protein (1227 aa)	1210	3	1	0
 Neurospora crassa OR74A hypothetical protein (1227 aa)	1211	1	0	0
 Neurospora crassa OR74A hypothetical protein (1227 aa)	1212	2	1	0
"mediator complex subunit Srb9"	1213	0	0	1
"synaptotagmin family C2 domain protein, Syn1"	1214	0	0	1
"COPII-coated vesicle component Sec31 (predicted)"	1216	0	0	1
estExt_Genewise1Plus.C_51573	1219	1	1	1
estExt_Genewise1.C_51447	1220	1	1	1
 Neurospora crassa OR74A glucoamylase-2 (1224 aa)	1222	2	1	0
estExt_fgenesh1_pg.C_60455	1223	1	1	0
estExt_Genewise1.C_30917	1224	1	1	0
 Neurospora crassa OR74A hypothetical protein (1222 aa)	1225	2	1	0
"cell surface glycoprotein, adhesion molecule (predicted)"	1228	0	0	1
"Cullin-associated NEDD8-dissociated protein Knd1 (predicted)"	1229	0	0	1
estExt_Genewise1Plus.C_21110	1230	1	1	0
 Neurospora crassa OR74A hypothetical protein (1221 aa)	1231	1	1	0
 Neurospora crassa OR74A hypothetical protein (1218 aa)	1236	1	0	0
 Neurospora crassa OR74A hypothetical protein (1218 aa)	1237	1	1	0
 Neurospora crassa OR74A multidrug resistance protein 3 (1218 aa)	1238	1	1	0
 Neurospora crassa OR74A hypothetical protein (1218 aa)	1239	1	1	0
 Neurospora crassa OR74A hypothetical protein (1218 aa)	1240	1	1	0
 Neurospora crassa OR74A hypothetical protein (1217 aa)	1242	1	1	0
 Neurospora crassa OR74A GTPase-activating protein gyp3 (1217 aa)	1243	1	1	0
"RNA-directed RNA polymerase Rdp1"	1244	0	0	1
estExt_Genewise1.C_814719	1245	1	1	1
estExt_Genemark.C_11005	1246	1	1	0
estExt_Genewise1.C_50336	1248	0	1	0
 Neurospora crassa OR74A hypothetical protein (1215 aa)	1249	1	1	0
 Neurospora crassa OR74A hypothetical protein (1215 aa)	1250	1	1	0
 Neurospora crassa OR74A kinesin (1215 aa)	1251	1	1	0
 Neurospora crassa OR74A chromatin remodelling factor 9-1 (1215 aa)	1252	1	1	0
"pleckstrin homology domain protein"	1254	0	0	1
 Neurospora crassa OR74A leucine carboxyl methyltransferase 2 (1214 aa)	1260	1	0	0
estExt_Genewise1Plus.C_815258	1261	1	1	0
 Neurospora crassa OR74A histone deacetylase-4 (1213 aa)	1263	1	1	0
"TRAPP complex subunit Trs120 (predicted)"	1266	0	0	1
estExt_fgenesh1_pg.C_30301	1271	1	1	0
estExt_fgenesh1_pg.C_11414	1276	0	1	0
 Neurospora crassa OR74A pre-mRNA-splicing factor rse-1 (1210 aa)	1277	1	1	1
"pericentrin Pcp1"	1278	0	0	1
estExt_Genemark.C_50777	1279	1	1	0
 Neurospora crassa OR74A hypothetical protein (1209 aa)	1281	1	1	0
estExt_Genewise1.C_60818	1286	1	1	0
 Neurospora crassa OR74A hypothetical protein (1207 aa)	1291	1	1	0
"cohesin-associated protein Pds5"	1294	0	0	1
 Neurospora crassa OR74A chromosome segregation protein SudA (1205 aa)	1296	1	1	1
"poly(A) polymerase Cid16 (predicted)"	1298	0	0	1
 Neurospora crassa OR74A hypothetical protein (1203 aa)	1299	1	1	0
"ATPase with bromodomain protein (predicted)"	1300	0	0	1
 Neurospora crassa OR74A hypothetical protein (1202 aa)	1301	1	0	0
 Neurospora crassa OR74A hypothetical protein (1201 aa)	1302	1	1	0
 Neurospora crassa OR74A hypothetical protein (1201 aa)	1303	2	0	0
 Neurospora crassa OR74A pathway-specific nitrogen regulator (1201 aa)	1304	1	1	0
 Neurospora crassa OR74A hypothetical protein (1201 aa)	1305	1	1	0
"ATP-dependent DNA helicase Snf21"	1308	0	0	1
 Neurospora crassa OR74A F-box and WD domain-containing protein (1200 aa)	1310	1	1	0
estExt_Genewise1Plus.C_812459	1312	0	1	0
 Neurospora crassa OR74A SNF2 family helicase/ATPase (1198 aa)	1313	1	1	0
 Neurospora crassa OR74A hypothetical protein (1198 aa)	1314	1	1	0
 Neurospora crassa OR74A hypothetical protein (1198 aa)	1315	1	1	0
 Neurospora crassa OR74A hypothetical protein (1197 aa)	1317	1	1	0
 Neurospora crassa OR74A hypothetical protein (1197 aa)	1318	2	1	0
estExt_fgenesh1_pm.C_812216	1322	1	1	0
 Neurospora crassa OR74A colonial-25 (1195 aa)	1325	1	1	0
 Neurospora crassa OR74A tricarboxylic acid-7 (1195 aa)	1326	1	1	1
 Neurospora crassa OR74A pre-mRNA-processing ATP-dependent RNA helicase prp-5 (1195 aa)	1327	1	1	0
 Neurospora crassa OR74A hypothetical protein (1194 aa)	1329	1	1	0
estExt_Genemark.C_811696	1330	1	1	1
"inositol polyphosphate phosphatase (predicted)"	1333	0	0	1
estExt_Genewise1Plus.C_40091	1334	2	1	0
"ATPase with bromodomain protein (predicted)"	1338	0	0	1
estExt_Genemark.C_60622	1340	1	1	0
estExt_Genewise1Plus.C_32620	1341	1	1	0
 Neurospora crassa OR74A polyphosphoinositide phosphatase Fig4 (1191 aa)	1342	1	1	0
 Neurospora crassa OR74A hypothetical protein (1191 aa)	1343	1	0	0
"C2 domain protein"	1347	0	0	1
estExt_Genewise1Plus.C_50149	1348	1	1	0
 Neurospora crassa OR74A histone acetyl transferase-6 (1189 aa)	1351	1	1	0
 Neurospora crassa OR74A hypothetical protein (1188 aa)	1354	1	1	0
 Neurospora crassa OR74A hypothetical protein (1188 aa)	1355	2	1	0
 Neurospora crassa OR74A male barren-2 (1188 aa)	1357	1	1	0
estExt_Genewise1Plus.C_22346	1358	2	1	0
 Neurospora crassa OR74A hypothetical protein (1187 aa)	1359	1	1	0
e_gw1.5.821.1	1365	0	1	0
 Neurospora crassa OR74A DNA methylation modulator-2 (1186 aa)	1366	2	1	0
"conserved fungal protein"	1367	0	0	1
 Neurospora crassa OR74A hypothetical protein (1184 aa)	1369	1	0	0
 Neurospora crassa OR74A hypothetical protein (1184 aa)	1370	1	1	0
 Neurospora crassa OR74A GTPase activating protein (1183 aa)	1372	1	1	0
estExt_Genemark.C_811266	1373	1	1	0
 Neurospora crassa OR74A CLAP1 (1182 aa)	1374	1	1	0
 Neurospora crassa OR74A hypothetical protein (1182 aa)	1376	1	0	0
estExt_Genemark.C_50918	1379	1	1	0
estExt_Genewise1Plus.C_21146	1380	1	1	1
 Neurospora crassa OR74A ATP-dependent RNA helicase DHX8 (1180 aa)	1382	1	0	1
estExt_fgenesh1_pm.C_811684	1384	1	1	0
 Neurospora crassa OR74A vegetative asexual development-5 (1177 aa)	1386	1	1	0
 Neurospora crassa OR74A nitrate nonutilizer-6 (1177 aa)	1387	1	1	0
fgenesh1_pg.81_#_912	1388	1	1	0
 Neurospora crassa OR74A DEAD/DEAH box helicase (1176 aa)	1389	1	1	0
estExt_fgenesh1_pm.C_811932	1391	1	1	0
"ATP-dependent RNA helicase Prp16"	1394	0	0	1
estExt_Genewise1Plus.C_811236	1396	1	1	0
 Neurospora crassa OR74A Cockayne syndrome B ortholog (1174 aa)	1397	1	1	0
"TATA-binding protein associated factor Taf2 (predicted)"	1401	0	0	1
estExt_Genewise1.C_51615	1402	1	1	0
estExt_Genemark.C_30049	1403	1	1	0
 Neurospora crassa OR74A glycosylhydrolase family 47-7 (1173 aa)	1406	1	1	0
estExt_Genewise1Plus.C_61870	1407	1	1	0
 Neurospora crassa OR74A intracellular protein transporter UsoA (1172 aa)	1409	1	1	0
 Neurospora crassa OR74A rho GTPase activator Rga (1171 aa)	1410	2	1	0
 Neurospora crassa OR74A hypothetical protein (1170 aa)	1414	1	0	0
estExt_Genewise1.C_814573	1416	2	1	0
estExt_Genewise1.C_813660	1417	1	1	1
fgenesh1_pg.81_#_1289	1418	1	1	0
gw1.81.3285.1	1419	2	1	0
 Neurospora crassa OR74A hypothetical protein (1169 aa)	1422	1	1	0
 Neurospora crassa OR74A mRNA 3'-end-processing protein RNA-14 (1168 aa)	1426	1	1	0
 Neurospora crassa OR74A hypothetical protein (1168 aa)	1428	1	0	0
 Neurospora crassa OR74A white collar-1 (1168 aa)	1429	4	1	0
 Neurospora crassa OR74A mannosyltransferase 1 (1168 aa)	1433	2	1	0
 Neurospora crassa OR74A phytochrome-2 (1167 aa)	1436	1	1	0
 Neurospora crassa OR74A hypothetical protein (1167 aa)	1437	1	1	0
"DNA-directed RNA polymerase III complex subunit Rpc2"	1438	1	1	1
estExt_Genemark.C_60947	1439	1	1	0
e_gw1.1.78.1	1440	1	1	2
 Neurospora crassa OR74A cytochrome a-5 (1166 aa)	1441	1	1	0
estExt_Genewise1Plus.C_30083	1444	1	1	0
 Neurospora crassa OR74A hypothetical protein (1165 aa)	1446	1	1	0
"rRNA processing protein Rrp12 (predicted)"	1447	0	0	1
e_gw1.4.911.1	1448	0	1	0
 Neurospora crassa OR74A Pro-apoptotic serine protease nma-111 (1164 aa)	1450	1	1	0
"nucleoporin Nup132"	1451	0	0	1
 Neurospora crassa OR74A GARP complex component (1163 aa)	1456	1	1	0
estExt_fgenesh1_pg.C_30906	1457	1	1	0
 Neurospora crassa OR74A nuclear pore protein (1162 aa)	1460	1	1	0
estExt_Genewise1.C_22094	1464	1	1	1
 Neurospora crassa OR74A hypothetical protein (1161 aa)	1466	1	1	0
"nucleoporin Nup124"	1468	0	0	1
"RhoGEF Rgf2"	1471	0	0	1
estExt_Genemark.C_20411	1474	1	1	0
"ribonuclease II (RNB) family, involved in nuclear-transcribed mRNA catabolic process (predicted)"	1477	0	0	1
estExt_fgenesh1_pg.C_40746	1478	1	1	0
estExt_Genewise1Plus.C_31630	1479	0	1	0
estExt_fgenesh1_pg.C_20874	1480	1	1	0
 Neurospora crassa OR74A hypothetical protein (1158 aa)	1481	1	1	0
 Neurospora crassa OR74A hypothetical protein (1158 aa)	1483	1	0	0
estExt_fgenesh1_pg.C_11060	1484	1	1	0
"cell polarity factor Rax2"	1485	0	0	1
estExt_Genemark.C_40934	1486	1	1	0
 Neurospora crassa OR74A hypothetical protein (1156 aa)	1488	1	1	0
"SIN3 family co-repressor Pst3"	1491	0	0	1
"mitochondrial RNA polymerase Rpo41"	1492	0	0	1
 Neurospora crassa OR74A RNA polymerase II mediator complex subunit Nut1 (1155 aa)	1495	1	1	0
fgenesh1_pg.6_#_739	1497	1	1	0
fgenesh1_pg.5_#_799	1498	1	1	0
"IPT/TIG ankyrin repeat containing transcription regulator of fatty acid biosynthesis (predicted)"	1501	0	0	1
estExt_fgenesh1_pg.C_10692	1502	1	1	0
 Neurospora crassa OR74A ARF GTPase activator (1152 aa)	1504	1	1	0
"TRAPP complex subunit Trs130 (predicted)"	1507	0	0	1
"Rho-type GTPase activating protein Rga1"	1508	0	0	1
 Neurospora crassa OR74A hypothetical protein (1151 aa)	1510	1	1	0
 Neurospora crassa OR74A hypothetical protein (1151 aa)	1511	1	0	0
 Neurospora crassa OR74A hypothetical protein (1151 aa)	1512	1	1	0
 Neurospora crassa OR74A hypothetical protein (1149 aa)	1516	1	1	0
"cell end marker Tea1"	1517	0	0	1
estExt_Genewise1Plus.C_51518	1518	1	1	0
 Neurospora crassa OR74A SH3 domain-containing protein (1148 aa)	1520	1	1	0
estExt_Genewise1Plus.C_41661	1523	1	1	0
estExt_fgenesh1_pm.C_10667	1524	0	1	0
fgenesh1_pm.3_#_1104	1526	2	1	0
 Neurospora crassa OR74A mutS ortholog 3 (1146 aa)	1527	1	1	0
 Neurospora crassa OR74A E3 ubiquitin-protein ligase (1146 aa)	1528	1	0	0
 Neurospora crassa OR74A serine/threonine protein kinase-19 (1146 aa)	1529	1	1	0
gw1.2.1211.1	1532	1	1	0
"nucleoporin Nup131"	1534	0	0	1
"GPI inositol deacylase Bst1 (predicted)"	1535	0	0	1
 Neurospora crassa OR74A hypothetical protein (1143 aa)	1538	1	1	0
 Neurospora crassa OR74A hypothetical protein (1143 aa)	1539	1	1	0
"ubiquitin C-terminal hydrolase Ubp2"	1540	0	0	1
 Neurospora crassa OR74A hypothetical protein (1142 aa)	1542	1	1	0
 Neurospora crassa OR74A hypothetical protein (1142 aa)	1543	1	1	0
"Smc5-6 complex SMC subunit Smc6"	1545	0	0	1
estExt_fgenesh1_pg.C_21213	1547	1	1	0
estExt_fgenesh1_pm.C_810163	1552	1	1	0
 Neurospora crassa OR74A vacuolar morphogenesis protein AvaB (1139 aa)	1555	1	1	0
estExt_Genemark.C_40727	1556	1	1	0
estExt_fgenesh1_pm.C_30234	1557	1	1	0
 Neurospora crassa OR74A hypothetical protein (1138 aa)	1558	1	1	0
"nucleoporin Nup120"	1560	0	0	1
estExt_fgenesh1_pg.C_811147	1561	2	1	0
estExt_Genemark.C_11225	1563	1	1	0
 Neurospora crassa OR74A stu-1 (1137 aa)	1564	1	1	0
 Neurospora crassa OR74A hypothetical protein (1137 aa)	1566	1	1	0
 Neurospora crassa OR74A vesicle-mediated transporter (1137 aa)	1567	1	0	0
estExt_fgenesh1_pm.C_30210	1570	1	1	0
 Neurospora crassa OR74A hypothetical protein (1136 aa)	1571	1	1	0
"mediator complex subunit Srb8"	1574	0	0	1
estExt_Genewise1Plus.C_52206	1575	1	1	0
 Neurospora crassa OR74A hypothetical protein (1135 aa)	1576	1	0	0
